start_date,end_date,best_c
2010-05-31,2013-07-22,10.0
2010-07-29,2013-09-16,0.1
2010-09-28,2013-11-20,0.1
2010-11-30,2014-01-16,0.1
2011-01-26,2014-03-20,0.01
2011-03-30,2014-05-20,0.01
2011-05-30,2014-07-16,1.0
2011-07-26,2014-09-11,1.0
2011-09-21,2014-11-13,10.0
2011-11-23,2015-01-12,10.0
2012-01-20,2015-03-16,10.0
2012-03-23,2015-05-13,10.0
2012-05-25,2015-07-09,10.0
2012-07-23,2015-09-07,0.01
2012-09-17,2015-11-09,0.01
2012-11-19,2016-01-05,0.01
2013-01-17,2016-03-08,0.01
2013-03-21,2016-05-05,0.01
2013-05-23,2016-07-04,0.01
2013-07-23,2016-08-29,0.01
2013-09-17,2016-11-02,0.01
2013-11-21,2016-12-28,10.0
2014-01-17,2017-03-02,10.0
2014-03-21,2017-05-02,10.0
2014-05-21,2017-06-29,0.01
2014-07-17,2017-08-24,0.01
