start_date,end_date,scale,gru_hidden
2010-05-31,2013-07-22,2,16
2010-07-29,2013-09-16,9,512
2010-09-28,2013-11-20,1,64
2010-11-30,2014-01-16,3,256
2011-01-26,2014-03-20,5,128
2011-03-30,2014-05-20,8,256
2011-05-30,2014-07-16,5,512
2011-07-26,2014-09-11,5,16
2011-09-21,2014-11-13,2,64
2011-11-23,2015-01-12,6,512
2012-01-20,2015-03-16,1,256
2012-03-23,2015-05-13,3,16
2012-05-25,2015-07-09,5,64
2012-07-23,2015-09-07,1,128
2012-09-17,2015-11-09,1,64
2012-11-19,2016-01-05,6,64
2013-01-17,2016-03-08,8,128
2013-03-21,2016-05-05,6,16
2013-05-23,2016-07-04,3,128
2013-07-23,2016-08-29,4,512
2013-09-17,2016-11-02,10,128
2013-11-21,2016-12-28,7,512
2014-01-17,2017-03-02,7,512
2014-03-21,2017-05-02,2,16
2014-05-21,2017-06-29,5,256
2014-07-17,2017-08-24,8,512
2014-09-12,2017-10-26,4,256
2014-11-14,2017-12-21,3,128
2015-01-13,2018-02-23,10,256
2015-03-17,2018-04-24,1,32
2015-05-14,2018-06-22,5,64
2015-07-10,2018-08-17,1,64
2015-09-08,2018-10-22,5,16
2015-11-10,2018-12-17,4,64
2016-01-06,2019-02-20,5,32
2016-03-09,2019-04-18,7,512
2016-05-06,2019-06-19,10,256
2016-07-05,2019-08-14,9,512
2016-08-30,2019-10-17,6,128
2016-11-03,2019-12-12,4,512
2016-12-29,2020-02-17,1,16
2017-03-03,2020-04-14,1,64
2017-05-03,2020-06-12,10,512
2017-06-30,2020-08-11,5,256
2017-08-25,2020-10-14,9,128
2017-10-27,2020-12-09,4,64
2017-12-22,2021-02-04,2,128
2018-02-26,2021-04-09,3,64
2018-04-25,2021-06-09,7,512
2018-06-25,2021-08-05,3,32
2018-08-20,2021-10-11,4,128
2018-10-23,2021-12-06,2,512
2018-12-18,2022-02-08,6,256
2019-02-21,2022-04-07,3,512
2019-04-19,2022-06-08,1,512
2019-06-20,2022-08-03,2,512
2019-08-15,2022-09-29,3,512
2019-10-18,2022-12-01,4,256
2019-12-13,2023-02-03,6,512
2020-02-18,2023-03-20,2,64
