date,open,close,high,low,volume,money,change,adjclose,symbol
2009-12-31,3561.37,3575.68,3579.52,3542.38,69241890.0,98004030329.0,1.04,3575.68,sh000300
2010-01-04,3592.47,3535.23,3597.75,3535.23,66101080.0,93419838921.0,1.75,3535.23,sh000300
2010-01-05,3545.19,3564.04,3577.53,3497.66,85809641.0,128302442618.0,2.26,3564.04,sh000300
2010-01-06,3558.7,3541.73,3588.83,3541.17,78473125.0,121045989916.0,1.34,3541.73,sh000300
2010-01-07,3543.16,3471.46,3558.56,3452.77,80350037.0,120436166283.0,2.99,3471.46,sh000300
2010-01-08,3456.91,3480.13,3482.08,3426.7,60790253.0,90190959969.0,1.6,3480.13,sh000300
2010-01-11,3593.11,3482.05,3594.53,3465.32,89980172.0,134114001104.0,3.71,3482.05,sh000300
2010-01-12,3477.84,3534.92,3535.41,3437.66,93743278.0,134071416354.0,2.81,3534.92,sh000300
2010-01-13,3448.29,3421.14,3490.11,3415.69,112457901.0,159860384574.0,2.11,3421.14,sh000300
2010-01-14,3433.47,3469.05,3470.32,3411.81,83353252.0,118107870086.0,1.71,3469.05,sh000300
2010-01-15,3472.52,3482.74,3500.07,3448.66,72543102.0,104035175785.0,1.48,3482.74,sh000300
2010-01-18,3471.78,3500.68,3501.26,3458.04,82854307.0,117884258544.0,1.24,3500.68,sh000300
2010-01-19,3506.81,3507.48,3528.39,3497.09,74883232.0,108023525533.0,0.89,3507.48,sh000300
2010-01-20,3512.25,3394.43,3515.45,3387.82,92495146.0,128416164613.0,3.64,3394.43,sh000300
2010-01-21,3397.04,3408.57,3425.18,3364.72,70595068.0,100076607006.0,1.78,3408.57,sh000300
2010-01-22,3364.45,3366.2,3390.8,3293.19,88933404.0,119197815814.0,2.86,3366.2,sh000300
2010-01-25,3340.01,3328.01,3372.43,3326.27,56849171.0,76626626843.0,1.37,3328.01,sh000300
2010-01-26,3328.11,3242.8,3341.2,3222.14,61752231.0,81586059213.0,3.58,3242.8,sh000300
2010-01-27,3243.04,3198.57,3255.12,3183.36,52691394.0,70540273182.0,2.21,3198.57,sh000300
2010-01-28,3195.29,3206.57,3220.31,3168.46,46990716.0,64082115658.0,1.62,3206.57,sh000300
2010-01-29,3190.31,3204.16,3249.46,3176.92,50262613.0,68018118702.0,2.26,3204.16,sh000300
2010-02-01,3198.23,3152.71,3198.31,3116.44,57001380.0,75982150475.0,2.56,3152.71,sh000300
2010-02-02,3170.78,3146.19,3211.94,3143.08,50130033.0,68318412373.0,2.18,3146.19,sh000300
2010-02-03,3160.71,3230.72,3231.1,3094.57,64798894.0,87536249983.0,4.34,3230.72,sh000300
2010-02-04,3206.43,3218.8,3242.52,3190.44,58972726.0,75466552963.0,1.61,3218.8,sh000300
2010-02-05,3147.72,3153.09,3177.42,3129.92,59105845.0,73693132366.0,1.48,3153.09,sh000300
2010-02-08,3152.25,3150.99,3172.31,3133.81,37355951.0,47902429250.0,1.22,3150.99,sh000300
2010-02-09,3147.76,3169.19,3178.95,3144.48,35953158.0,45222660374.0,1.09,3169.19,sh000300
2010-02-10,3195.14,3214.13,3214.46,3182.83,34219894.0,48152144637.0,1.0,3214.13,sh000300
2010-02-11,3216.69,3220.4,3238.35,3207.17,35791052.0,46999712971.0,0.97,3220.4,sh000300
2010-02-12,3232.88,3251.28,3253.2,3228.74,34058238.0,46703220577.0,0.76,3251.28,sh000300
2010-02-22,3248.95,3233.34,3261.95,3232.78,38283772.0,49981333658.0,0.9,3233.34,sh000300
