date,open,close,high,low,volume,money,change,adjclose,symbol
2009-12-31,3494.95,3506.17,3514.1,3476.74,42791443.0,59920306176.0,1.07,3506.17,sh000903
2010-01-04,3522.57,3453.61,3528.18,3453.58,39015013.0,53703659520.0,2.13,3453.61,sh000903
2010-01-05,3464.9,3481.76,3502.23,3410.65,50247179.0,75173830656.0,2.65,3481.76,sh000903
2010-01-06,3476.39,3450.72,3497.56,3450.07,43936225.0,67558244352.0,1.36,3450.72,sh000903
2010-01-07,3451.73,3381.69,3466.2,3362.62,45649419.0,68069269504.0,3.0,3381.69,sh000903
2010-01-08,3367.63,3387.39,3389.86,3337.81,33629339.0,50700787712.0,1.54,3387.39,sh000903
2010-01-11,3521.26,3383.81,3521.26,3368.07,56668678.0,85651185664.0,4.52,3383.81,sh000903
2010-01-12,3374.5,3427.33,3429.44,3329.54,55903988.0,76069969920.0,2.95,3427.33,sh000903
2010-01-13,3340.99,3292.88,3364.45,3288.42,70942586.0,95683969024.0,2.22,3292.88,sh000903
2010-01-14,3306.54,3330.58,3335.1,3274.6,45286429.0,62060998656.0,1.84,3330.58,sh000903
2010-01-15,3332.4,3338.43,3359.61,3304.07,38653836.0,54308536320.0,1.67,3338.43,sh000903
2010-01-18,3323.95,3342.28,3342.98,3307.88,45019899.0,63249035264.0,1.05,3342.28,sh000903
2010-01-19,3347.51,3353.37,3375.0,3341.63,41257344.0,57857622016.0,1.0,3353.37,sh000903
2010-01-20,3358.56,3248.55,3362.32,3243.45,50964848.0,69287002112.0,3.54,3248.55,sh000903
2010-01-21,3252.55,3269.49,3285.22,3225.73,41007801.0,57291010048.0,1.83,3269.49,sh000903
2010-01-22,3226.63,3251.4,3277.28,3174.68,56019076.0,71893901312.0,3.14,3251.4,sh000903
2010-01-25,3221.57,3213.84,3258.07,3212.12,34022638.0,44322787328.0,1.41,3213.84,sh000903
2010-01-26,3214.95,3151.94,3227.2,3131.29,37768051.0,47853056000.0,2.98,3151.94,sh000903
2010-01-27,3153.95,3098.51,3163.52,3087.86,32573441.0,42850037760.0,2.4,3098.51,sh000903
2010-01-28,3095.94,3092.1,3109.45,3061.17,28280316.0,37052465152.0,1.56,3092.1,sh000903
2010-01-29,3076.13,3082.69,3129.29,3063.42,28052550.0,37530288128.0,2.13,3082.69,sh000903
2010-02-01,3076.73,3034.22,3077.06,2999.27,31863366.0,42757562368.0,2.52,3034.22,sh000903
2010-02-02,3052.17,3032.47,3097.46,3028.96,27323705.0,37403406336.0,2.26,3032.47,sh000903
2010-02-03,3048.82,3123.84,3124.37,2997.94,36089844.0,49345646592.0,4.17,3123.84,sh000903
2010-02-04,3097.96,3102.91,3124.6,3083.39,27570794.0,36585422848.0,1.32,3102.91,sh000903
