date,open,close,high,low,volume,money,change,adjclose,symbol
2009-12-31,2545.86,2553.8,2563.97,2535.69,33063231.0,42430170716.0,1.11,2553.8,sh000016
2010-01-04,2565.11,2514.65,2570.15,2514.24,27327443.0,36468522963.0,2.19,2514.65,sh000016
2010-01-05,2526.29,2543.99,2560.67,2487.05,35377438.0,50779118260.0,2.93,2543.99,sh000016
2010-01-06,2538.29,2514.01,2549.57,2513.37,29646151.0,43444325534.0,1.42,2514.01,sh000016
2010-01-07,2516.06,2463.76,2527.43,2450.4,32043185.0,44611409814.0,3.06,2463.76,sh000016
2010-01-08,2453.06,2466.17,2470.02,2432.01,22683410.0,32335059424.0,1.54,2466.17,sh000016
2010-01-11,2584.53,2478.81,2584.53,2467.67,40841194.0,59816278688.0,4.74,2478.81,sh000016
2010-01-12,2472.62,2508.04,2513.3,2435.16,38048146.0,51587338665.0,3.15,2508.04,sh000016
2010-01-13,2444.24,2399.64,2457.9,2396.47,49558854.0,64803855136.0,2.45,2399.64,sh000016
2010-01-14,2412.63,2422.77,2428.71,2384.17,30562214.0,39708569808.0,1.86,2422.77,sh000016
2010-01-15,2423.13,2427.81,2445.2,2402.9,25994928.0,34691328647.0,1.75,2427.81,sh000016
2010-01-18,2414.89,2421.19,2421.89,2398.78,30936344.0,41866659345.0,0.95,2421.19,sh000016
2010-01-19,2424.47,2432.71,2450.28,2424.16,27829076.0,37544640666.0,1.08,2432.71,sh000016
2010-01-20,2436.65,2359.49,2439.47,2356.16,34748485.0,45720566126.0,3.42,2359.49,sh000016
2010-01-21,2362.6,2377.75,2391.51,2346.15,29196147.0,37804392708.0,1.92,2377.75,sh000016
2010-01-22,2344.97,2380.06,2398.99,2317.48,40639272.0,49042084127.0,3.43,2380.06,sh000016
2010-01-25,2355.36,2353.47,2389.63,2350.01,20749880.0,26430130648.0,1.66,2353.47,sh000016
2010-01-26,2354.91,2311.45,2363.41,2296.88,24700383.0,30347743465.0,2.83,2311.45,sh000016
2010-01-27,2313.01,2264.61,2319.99,2260.56,22280212.0,27288373309.0,2.57,2264.61,sh000016
2010-01-28,2263.06,2252.61,2267.85,2235.6,19023456.0,23754286041.0,1.42,2252.61,sh000016
2010-01-29,2241.12,2243.99,2276.77,2231.65,18626036.0,23861735672.0,2.0,2243.99,sh000016
2010-02-01,2238.62,2208.94,2238.9,2182.95,22082437.0,28608214630.0,2.49,2208.94,sh000016
2010-02-02,2223.6,2214.03,2261.63,2210.7,19640116.0,25970058516.0,2.31,2214.03,sh000016
2010-02-03,2226.8,2277.8,2278.48,2190.43,24836450.0,32146915297.0,3.98,2277.8,sh000016
2010-02-04,2258.08,2261.36,2276.47,2247.64,17182667.0,21637703163.0,1.27,2261.36,sh000016
2010-02-05,2212.31,2219.6,2233.32,2204.93,18456182.0,22714229934.0,1.26,2219.6,sh000016
2010-02-08,2220.84,2211.14,2233.14,2201.8,12006796.0,15532833677.0,1.41,2211.14,sh000016
2010-02-09,2210.33,2229.04,2234.53,2207.85,10541683.0,13316002985.0,1.21,2229.04,sh000016
2010-02-10,2246.77,2259.99,2260.48,2239.18,12084848.0,16865860503.0,0.96,2259.99,sh000016
2010-02-11,2261.82,2265.14,2275.76,2254.98,12535479.0,15327711044.0,0.92,2265.14,sh000016
2010-02-12,2275.59,2284.39,2286.68,2270.76,13026260.0,16653482712.0,0.7,2284.39,sh000016
2010-02-22,2282.09,2269.05,2291.78,2268.09,13688359.0,16865165200.0,1.04,2269.05,sh000016
2010-02-23,2261.99,2227.95,2261.99,2202.21,15276395.0,25286082271.0,2.63,2227.95,sh000016
2010-02-24,2211.39,2251.7,2252.65,2204.68,16815352.0,21257295094.0,2.15,2251.7,sh000016
2010-02-25,2254.8,2282.64,2286.92,2251.96,24186779.0,32214891643.0,1.55,2282.64,sh000016
2010-02-26,2278.43,2274.33,2288.6,2270.77,15274059.0,19400436299.0,0.78,2274.33,sh000016
2010-03-01,2282.34,2311.08,2316.38,2281.7,19312675.0,25599322599.0,1.52,2311.08,sh000016
2010-03-02,2312.49,2302.19,2320.31,2293.92,15212338.0,20304283982.0,1.14,2302.19,sh000016
2010-03-03,2304.06,2311.84,2312.42,2287.04,15845846.0,21138516899.0,1.1,2311.84,sh000016
2010-03-04,2312.3,2261.93,2312.78,2259.18,19620716.0,24267036362.0,2.32,2261.93,sh000016
2010-03-05,2264.68,2267.94,2276.76,2258.96,13347537.0,16806363583.0,0.79,2267.94,sh000016
