date,open,close,high,low,volume,money,change,adjclose,symbol
2009-12-31,4444.25,4485.25,4487.45,4432.29,45292800.0,54875090944.0,1.24,4485.25,sh000905
2010-01-04,4508.93,4510.53,4542.71,4487.37,51256734.0,62671851520.0,1.23,4510.53,sh000905
2010-01-05,4513.4,4557.48,4558.21,4480.19,57040745.0,68443127808.0,1.73,4557.48,sh000905
2010-01-06,4553.37,4550.28,4595.1,4538.72,57875979.0,69618450432.0,1.24,4550.28,sh000905
2010-01-07,4540.01,4459.15,4554.93,4436.77,57873440.0,68761436160.0,2.6,4459.15,sh000905
2010-01-08,4439.21,4514.45,4514.72,4426.23,46573646.0,54897795072.0,1.98,4514.45,sh000905
2010-01-11,4549.32,4542.95,4558.46,4502.99,57089732.0,70066388992.0,1.23,4542.95,sh000905
2010-01-12,4535.3,4639.63,4640.35,4524.67,62061689.0,76271747072.0,2.55,4639.63,sh000905
2010-01-13,4544.43,4591.02,4650.06,4526.84,67898807.0,83458596864.0,2.66,4591.02,sh000905
2010-01-14,4598.4,4714.1,4714.87,4598.4,67918483.0,84561289216.0,2.54,4714.1,sh000905
2010-01-15,4720.22,4747.65,4753.19,4712.62,58513372.0,73076039680.0,0.86,4747.65,sh000905
2010-01-18,4744.33,4829.06,4829.36,4738.91,63284357.0,78211366912.0,1.91,4829.06,sh000905
2010-01-19,4835.83,4830.02,4852.33,4791.99,66154944.0,80838049792.0,1.25,4830.02,sh000905
2010-01-20,4830.42,4651.07,4831.7,4635.67,78086537.0,94323892224.0,4.06,4651.07,sh000905
2010-01-21,4646.62,4667.21,4696.16,4611.76,50936676.0,61486440448.0,1.81,4667.21,sh000905
2010-01-22,4613.19,4537.88,4633.39,4453.69,60187183.0,69988892672.0,3.85,4537.88,sh000905
2010-01-25,4515.13,4481.16,4542.79,4477.19,41395083.0,49671090176.0,1.45,4481.16,sh000905
2010-01-26,4467.52,4294.38,4492.65,4254.32,41520282.0,47467847680.0,5.32,4294.38,sh000905
2010-01-27,4290.74,4267.11,4344.13,4229.52,32924152.0,37930582016.0,2.67,4267.11,sh000905
2010-01-28,4266.06,4336.38,4340.41,4249.77,32127330.0,37413687296.0,2.12,4336.38,sh000905
2010-01-29,4316.24,4374.65,4418.4,4298.65,39888065.0,46920871936.0,2.76,4374.65,sh000905
2010-02-01,4366.49,4331.37,4372.57,4269.33,43095029.0,50119155712.0,2.36,4331.37,sh000905
2010-02-02,4344.04,4301.77,4388.35,4296.88,38532505.0,45419433984.0,2.11,4301.77,sh000905
2010-02-03,4299.97,4363.08,4363.67,4160.35,48526679.0,55363883008.0,4.73,4363.08,sh000905
2010-02-04,4342.68,4408.44,4445.75,4316.81,51873782.0,60009177088.0,2.96,4408.44,sh000905
2010-02-05,4312.55,4311.29,4382.34,4270.71,49670405.0,57329451008.0,2.53,4311.29,sh000905
2010-02-08,4299.25,4310.89,4330.2,4279.66,31946076.0,36140916736.0,1.17,4310.89,sh000905
2010-02-09,4300.32,4311.89,4334.34,4284.52,29896579.0,33051109376.0,1.16,4311.89,sh000905
2010-02-10,4333.85,4366.25,4366.5,4326.02,25897196.0,30362056704.0,0.94,4366.25,sh000905
2010-02-11,4367.72,4356.52,4385.2,4352.11,24485410.0,28560427008.0,0.76,4356.52,sh000905
2010-02-12,4365.62,4416.22,4418.54,4365.48,24511379.0,29321019392.0,1.22,4416.22,sh000905
2010-02-22,4412.55,4419.55,4457.22,4401.06,31469426.0,36942577664.0,1.27,4419.55,sh000905
2010-02-23,4414.06,4459.15,4459.73,4352.44,38842110.0,44895645696.0,2.43,4459.15,sh000905
2010-02-24,4438.4,4556.28,4556.72,4419.45,48024568.0,55266250752.0,3.08,4556.28,sh000905
2010-02-25,4565.74,4629.96,4632.97,4564.02,55519410.0,65857347584.0,1.51,4629.96,sh000905
2010-02-26,4618.64,4634.67,4656.93,4602.02,49530522.0,58905067520.0,1.19,4634.67,sh000905
2010-03-01,4635.95,4686.27,4692.83,4635.95,53862437.0,63522639872.0,1.23,4686.27,sh000905
2010-03-02,4692.61,4690.29,4705.16,4660.17,56628861.0,67693531136.0,0.96,4690.29,sh000905
2010-03-03,4690.44,4758.43,4761.58,4680.31,63573551.0,76878299136.0,1.73,4758.43,sh000905
2010-03-04,4763.64,4586.52,4780.02,4572.07,68470706.0,81551646720.0,4.37,4586.52,sh000905
2010-03-05,4590.89,4604.59,4632.04,4550.1,52371476.0,58748522496.0,1.79,4604.59,sh000905
2010-03-08,4618.86,4654.58,4665.06,4612.22,45039469.0,51555328000.0,1.15,4654.58,sh000905
2010-03-09,4653.06,4660.13,4674.51,4607.86,47214429.0,54504640512.0,1.43,4660.13,sh000905
2010-03-10,4659.5,4598.99,4674.06,4564.43,44799559.0,51947966464.0,2.35,4598.99,sh000905
2010-03-11,4594.5,4562.87,4608.64,4519.03,37561118.0,43582881792.0,1.95,4562.87,sh000905
2010-03-12,4561.61,4492.86,4576.0,4489.53,35400212.0,40963842048.0,1.9,4492.86,sh000905
2010-03-15,4485.88,4454.76,4498.1,4426.19,29928780.0,35313782784.0,1.6,4454.76,sh000905
2010-03-16,4453.81,4491.46,4492.04,4426.61,27664476.0,31934261248.0,1.47,4491.46,sh000905
2010-03-17,4500.43,4616.05,4616.11,4500.25,44369453.0,52355112960.0,2.58,4616.05,sh000905
2010-03-18,4628.0,4630.95,4653.68,4605.91,49791347.0,58490408960.0,1.03,4630.95,sh000905
2010-03-19,4632.05,4663.9,4665.91,4609.01,46415546.0,54392696832.0,1.23,4663.9,sh000905
2010-03-22,4669.41,4690.2,4695.08,4649.53,47200320.0,55746637824.0,0.98,4690.2,sh000905
2010-03-23,4690.27,4658.63,4697.73,4642.98,47048667.0,56747737088.0,1.17,4658.63,sh000905
2010-03-24,4662.99,4683.06,4692.32,4662.54,47442767.0,58070204416.0,0.64,4683.06,sh000905
2010-03-25,4675.22,4620.75,4675.22,4609.17,48954116.0,58843594752.0,1.41,4620.75,sh000905
2010-03-26,4609.75,4686.93,4693.76,4601.69,45219282.0,54648705024.0,1.99,4686.93,sh000905
2010-03-29,4701.79,4723.61,4723.75,4682.41,50283238.0,61333700608.0,0.88,4723.61,sh000905
2010-03-30,4720.58,4744.42,4748.91,4708.43,47343723.0,59814494208.0,0.86,4744.42,sh000905
2010-03-31,4744.34,4756.16,4757.32,4726.52,49108276.0,61722492928.0,0.65,4756.16,sh000905
2010-04-01,4756.3,4827.21,4828.1,4755.93,61878857.0,77731512320.0,1.52,4827.21,sh000905
2010-04-02,4833.81,4843.17,4851.94,4820.06,59431946.0,71673135104.0,0.66,4843.17,sh000905
2010-04-06,4853.33,4852.9,4862.17,4814.25,57397050.0,70803390464.0,0.99,4852.9,sh000905
2010-04-07,4851.83,4863.64,4865.75,4829.02,53289186.0,66073837568.0,0.76,4863.64,sh000905
2010-04-08,4856.41,4864.92,4881.91,4845.6,57175510.0,72568496128.0,0.75,4864.92,sh000905
2010-04-09,4866.52,4939.18,4939.41,4866.24,58419225.0,76192587776.0,1.5,4939.18,sh000905
2010-04-12,4948.1,4976.38,4976.83,4932.63,72281718.0,93471809536.0,0.89,4976.38,sh000905
2010-04-13,4977.76,4919.87,4993.37,4793.28,73469443.0,96503259136.0,4.02,4919.87,sh000905
2010-04-14,4910.7,4977.51,4978.27,4896.57,56202291.0,72485871616.0,1.66,4977.51,sh000905
2010-04-15,4975.08,4914.75,4984.36,4879.91,54251123.0,70016671744.0,2.1,4914.75,sh000905
2010-04-16,4900.6,4898.67,4936.88,4852.41,43045737.0,54086012928.0,1.72,4898.67,sh000905
2010-04-19,4850.86,4688.84,4880.54,4688.12,58277447.0,70792699904.0,3.93,4688.84,sh000905
2010-04-20,4680.2,4749.93,4750.49,4607.2,52719073.0,65798537216.0,3.06,4749.93,sh000905
2010-04-21,4753.12,4893.98,4896.66,4747.39,63953385.0,83273719808.0,3.14,4893.98,sh000905
