start_date,end_date,scale,gru_hidden
2010-05-31,2013-07-22,5,512
2010-07-29,2013-09-16,2,128
2010-09-28,2013-11-20,1,16
2010-11-30,2014-01-16,3,16
2011-01-26,2014-03-20,1,32
2011-03-30,2014-05-20,4,128
2011-05-30,2014-07-16,10,128
2011-07-26,2014-09-11,8,512
2011-09-21,2014-11-13,2,32
2011-11-23,2015-01-12,6,64
2012-01-20,2015-03-16,1,64
2012-03-23,2015-05-13,1,128
2012-05-25,2015-07-09,5,64
2012-07-23,2015-09-07,3,16
2012-09-17,2015-11-09,9,128
2012-11-19,2016-01-05,4,16
2013-01-17,2016-03-08,4,16
2013-03-21,2016-05-05,8,256
2013-05-23,2016-07-04,1,512
2013-07-23,2016-08-29,9,512
2013-09-17,2016-11-02,2,256
2013-11-21,2016-12-28,10,512
2014-01-17,2017-03-02,9,64
2014-03-21,2017-05-02,6,128
2014-05-21,2017-06-29,7,16
2014-07-17,2017-08-24,1,16
2014-09-12,2017-10-26,1,16
2014-11-14,2017-12-21,1,32
2015-01-13,2018-02-23,2,64
2015-03-17,2018-04-24,3,16
2015-05-14,2018-06-22,2,64
2015-07-10,2018-08-17,1,256
2015-09-08,2018-10-22,7,512
2015-11-10,2018-12-17,10,512
2016-01-06,2019-02-20,4,16
2016-03-09,2019-04-18,2,32
2016-05-06,2019-06-19,5,16
2016-07-05,2019-08-14,9,64
2016-08-30,2019-10-17,2,32
2016-11-03,2019-12-12,6,64
2016-12-29,2020-02-17,8,512
2017-03-03,2020-04-14,1,64
2017-05-03,2020-06-12,2,16
2017-06-30,2020-08-11,4,32
2017-08-25,2020-10-14,6,16
2017-10-27,2020-12-09,3,256
2017-12-22,2021-02-04,10,256
2018-02-26,2021-04-09,4,16
2018-04-25,2021-06-09,9,32
2018-06-25,2021-08-05,3,512
2018-08-20,2021-10-11,5,32
2018-10-23,2021-12-06,2,64
2018-12-18,2022-02-08,8,64
2019-02-21,2022-04-07,5,512
2019-04-19,2022-06-08,5,16
2019-06-20,2022-08-03,5,32
2019-08-15,2022-09-29,5,64
2019-10-18,2022-12-01,7,512
2019-12-13,2023-02-03,10,16
2020-02-18,2023-03-20,6,512
