start_date,end_date,best_c
2010-05-31,2012-07-20,0.01
2010-07-29,2012-09-14,0.01
2010-09-28,2012-11-16,0.01
2010-11-30,2013-01-16,0.1
2011-01-26,2013-03-20,1.0
2011-03-30,2013-05-22,1.0
2011-05-30,2013-07-22,1.0
2011-07-26,2013-09-16,1.0
2011-09-21,2013-11-20,10.0
2011-11-23,2014-01-16,1.0
2012-01-20,2014-03-20,10.0
2012-03-23,2014-05-20,1.0
2012-05-25,2014-07-16,1.0
2012-07-23,2014-09-11,1.0
2012-09-17,2014-11-13,1.0
2012-11-19,2015-01-12,100.0
2013-01-17,2015-03-16,100.0
2013-03-21,2015-05-13,0.1
2013-05-23,2015-07-09,0.1
2013-07-23,2015-09-07,10.0
2013-09-17,2015-11-09,0.1
2013-11-21,2016-01-05,0.01
2014-01-17,2016-03-08,0.01
2014-03-21,2016-05-05,0.01
2014-05-21,2016-07-04,0.01
2014-07-17,2016-08-29,0.01
2014-09-12,2016-11-02,0.01
2014-11-14,2016-12-28,0.01
2015-01-13,2017-03-02,1.0
2015-03-17,2017-05-02,10.0
2015-05-14,2017-06-29,1.0
2015-07-10,2017-08-24,0.01
