start_date,end_date,scale,gru_hidden
2010-05-31,2015-09-07,3,512
2010-07-29,2015-11-09,1,256
2010-09-28,2016-01-05,7,256
2010-11-30,2016-03-08,1,512
2011-01-26,2016-05-05,4,512
2011-03-30,2016-07-04,5,16
2011-05-30,2016-08-29,1,256
2011-07-26,2016-11-02,1,16
2011-09-21,2016-12-28,3,128
2011-11-23,2017-03-02,2,16
2012-01-20,2017-05-02,4,512
2012-03-23,2017-06-29,7,256
2012-05-25,2017-08-24,10,256
2012-07-23,2017-10-26,4,256
2012-09-17,2017-12-21,10,16
2012-11-19,2018-02-23,1,64
2013-01-17,2018-04-24,10,256
2013-03-21,2018-06-22,10,256
2013-05-23,2018-08-17,3,16
2013-07-23,2018-10-22,5,128
2013-09-17,2018-12-17,9,256
2013-11-21,2019-02-20,6,128
2014-01-17,2019-04-18,1,128
2014-03-21,2019-06-19,5,512
2014-05-21,2019-08-14,4,64
2014-07-17,2019-10-17,7,128
2014-09-12,2019-12-12,7,512
2014-11-14,2020-02-17,8,512
2015-01-13,2020-04-14,7,128
2015-03-17,2020-06-12,7,512
2015-05-14,2020-08-11,2,512
2015-07-10,2020-10-14,2,256
2015-09-08,2020-12-09,4,256
2015-11-10,2021-02-04,1,32
2016-01-06,2021-04-09,1,16
2016-03-09,2021-06-09,2,32
2016-05-06,2021-08-05,6,16
2016-07-05,2021-10-11,8,128
2016-08-30,2021-12-06,1,128
2016-11-03,2022-02-08,8,64
2016-12-29,2022-04-07,9,64
2017-03-03,2022-06-08,6,64
2017-05-03,2022-08-03,6,16
2017-06-30,2022-09-29,3,32
2017-08-25,2022-12-01,3,64
2017-10-27,2023-02-03,1,64
2017-12-22,2023-03-20,1,256
