start_date,end_date,best_c
2010-05-31,2021-06-09,100.0
2010-07-29,2021-08-05,100.0
2010-09-28,2021-10-11,10.0
2010-11-30,2021-12-06,0.01
2011-01-26,2022-02-08,10.0
2011-03-30,2022-04-07,0.01
2011-05-30,2022-06-08,10.0
2011-07-26,2022-08-03,0.01
2011-09-21,2022-09-29,0.1
2011-11-23,2022-12-01,0.1
2012-01-20,2023-02-03,0.1
2012-03-23,2023-03-20,0.1
